clave,descripción
1,Trabaja
2,Al hogar
3,Estudiante
4,Pensionado o jubilado
5,Rentista
6,Incapacitado permanentemente para trabajar
7,Busca trabajo
8,Otra (no trabaja)
9,No especificada
