clave,descripción
0,Cero hijos
1,Un hijo
2,Dos hijos
3,Tres hijos
4,Cuatro hijos
5,Cinco hijos
6,Seis hijos
7,Siete hijos
8,Ocho hijos
9,Nueve hijos
10,Diez hijos
11,Once hijos
12,Doce hijos
13,Trece hijos
14,Catorce hijos
15,Quince hijos
16,Dieciséis hijos
17,Diecisiete hijos
18,Dieciocho hijos
19,Diecinueve hijos
20,Veinte hijos
21,Veintiún hijos
22,Veintidós hijos
23,Veintitrés hijos
24,Veinticuatro hijos
25,Veinticinco hijos
98,No aplica
99,No especificado
