clave,descripción
0,Sin escolaridad
1,1 a 3 años de primaria
2,4 a 5 años de primaria
3,Primaria completa
4,Secundaria o equivalente
5,Preparatoria o equivalente
6,Superior
7,Carrera técnica
8,Otra
9,No especificada
